"ProteinID","n_proteins","protein_score","n_peptides","MDA_GD3","MDA_GD2","MDA_GD1","MDA_HG1","MDA_HG3","MDA_HG2","MDA_GD1","MDA_GD2","MDA_GD3","MDA_HG1","MDA_HG2","MDA_HG3","MDA_GD1_sim","MDA_GD2_sim","MDA_GD3_sim","MDA_HG1_sim","MDA_HG2_sim","MDA_HG3_sim"
"sp|O00483|NDUA4_HUMAN",1,1,3,136682284,131636552,142196648,408015360,436480456,202014324,18.7727215026224,18.6955552890498,18.7331696956366,19.8268153787186,19.1238491637425,19.8942541579002,18.7416486970283,18.7003254368617,18.7689933936035,18.5693793602435,19.3044965592012,19.5610565192522
"sp|O00487|PSDE_HUMAN",1,1,5,251559358,309974894,303239088,228440634,221255430,235830402,19.5300321216291,19.5520018650671,19.3431895355613,19.2467869271029,19.2786234690543,19.214828383924,19.5129698474705,19.4523468842961,19.4247808331021,19.2861470902238,19.2756988926984,19.2073880190342
"sp|O00488|ZN593_HUMAN",1,1,1,17276860,17906160,22154230,22817390,23410650,65996208,16.9135390068775,16.7006553456886,16.6648785918654,16.9430335225004,18.0051078437947,16.9687016049936,16.5534803575473,16.6672205447277,16.6763612511297,17.2757841474851,16.3509250729326,17.5027828064792
"sp|O00505|IMA4_HUMAN",1,1,7,36570360,117906040,195693580,94700090,202147158,187115928,19.0920606265139,18.5853985940512,17.4147486342116,18.3662255085254,19.0472389185669,19.1245064950851,18.6388389324107,19.4789272590407,18.0442205391558,18.5665039276296,18.7657960978616,19.130184750838
"sp|O00507|USP9Y_HUMAN",1,0.983942578,1,0,39007540,0,0,0,0,NA,17.4792655187408,NA,NA,NA,NA,17.4323142308583,16.6594210568788,17.3646684441089,NA,NA,NA
"sp|O00515|LAD1_HUMAN",1,1,9,194739108,579437194,330119084,239243056,118093288,128765792,19.6149640079363,20.177567835233,19.0871713130381,19.2929905638427,18.6735057462971,18.5869854463603,19.5164275122859,19.1194527117989,18.6909871440239,18.5023057785039,19.1861640529731,18.3305202088592
"sp|O00519|FAAH1_HUMAN",1,0.999736281,1,0,0,0,4691395,0,0,NA,NA,NA,15.3612405375602,NA,NA,NA,NA,NA,15.3646747530839,15.3095980887816,14.2775603058898
"sp|O00541|PESC_HUMAN",1,1,7,403345776,276386046,365309496,50832580,441838392,45185608,19.7162554865002,19.4373091637788,19.8153047569979,17.7440480455617,17.6262891870205,19.9064547442241,19.6095777848277,19.6263239036085,19.5938269627544,18.98208867463,19.5741180803941,15.6563936196893
"sp|O00566|MPP10_HUMAN",1,0.999999985,3,44625960,0,134543728,151796864,69882152,159745944,18.7173998194093,NA,17.6138263104377,18.8380537639509,18.8890952612282,18.0623208384056,17.666568630489,18.7005642063829,18.3076737087737,18.2359292298332,19.200696807546,18.4609971235621
"sp|O00567|NOP56_HUMAN",1,1,14,508244868,535181428,2095579874,851607630,569935652,519435929,21.4630961415202,20.0981163651299,20.0464739130287,20.5626364505489,20.0682540288475,20.1610340211921,21.3699505579701,19.9239893386645,21.3554456401063,20.4055788716528,19.7124132912088,21.1545295797827
